tileswide 20
tileshigh 20
tilewidth 32
tileheight 32

layer 0
5,5,13,9,9,12,5,5,5,5,5,5,5,13,9,9,9,9,12,5,
5,13,10,11,11,4,5,5,5,5,13,9,9,10,11,11,11,11,8,12,
13,10,11,3,11,4,5,5,5,13,10,7,11,11,3,11,11,7,11,4,
6,11,3,11,11,8,9,12,5,15,2,11,11,11,11,11,11,0,1,14,
15,2,11,7,11,11,11,8,12,5,15,1,1,1,2,7,7,4,5,5,
5,15,1,1,2,11,11,11,4,5,5,5,5,5,6,11,7,4,5,5,
5,5,5,5,6,11,3,11,8,12,5,5,5,5,6,11,11,8,12,5,
5,5,13,9,10,7,11,11,3,4,5,5,5,13,10,7,11,11,8,12,
5,13,10,11,3,11,7,11,11,8,12,5,5,6,11,11,11,11,11,4,
13,10,11,3,11,11,11,11,11,3,8,9,9,10,11,7,3,7,0,14,
6,11,11,11,0,1,1,2,11,11,11,3,11,11,7,3,11,11,4,5,
6,11,3,0,14,5,5,15,2,11,11,11,11,7,3,11,11,11,8,12,
6,3,11,8,9,12,5,5,15,1,1,2,11,7,0,1,2,7,7,4,
15,2,11,3,11,8,12,5,5,5,5,6,11,11,4,5,6,11,11,4,
5,15,2,11,7,11,8,12,5,13,9,10,11,11,4,13,10,11,3,4,
5,5,15,2,11,11,7,8,9,10,7,7,11,0,14,6,11,11,11,4,
5,5,5,6,11,3,11,11,11,11,3,7,11,4,5,6,11,11,3,4,
5,5,5,15,2,11,11,11,7,11,11,11,11,8,12,15,2,11,0,14,
5,5,5,5,15,1,2,7,3,7,11,0,1,1,14,5,15,1,14,5,
5,5,5,5,5,5,15,1,1,1,1,14,5,5,5,5,5,5,5,5,

